"d" "K" "m" "cv" "HR" "tau" "censoring" "matrix" "method_correction" "distribution" "delta.rmst" "var" "ci.low" "ci.up" "t_star"
31 10 80 0.6 1 0.001 0.2 "ind" "md" "z" -22.3149228278137 176.450060384239 -48.3500076341869 3.72016197855955 365
31 10 80 0.6 1 0.001 0.2 "ind" "md" "t" -22.3149228278137 176.450060384239 -52.9466148882046 8.31676923257729 365
31 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" -22.3149228278137 125.937746332012 -44.3100283403009 -0.319817315326457 365
31 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" -22.3149228278137 125.937746332012 -48.1933597103925 3.56351405476514 365
31 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" -22.3149228278137 165.242689495327 -47.5096243961404 2.87977874051307 365
31 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" -22.3149228278137 165.242689495327 -51.9578583409529 7.32801268532562 365
31 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" -22.3149228278137 124.389312053323 -44.1743926289619 -0.455453026665399 365
31 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" -22.3149228278137 124.389312053323 -48.0337769253535 3.40393126972618 365
31 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" -23.7152681535925 83.1814456271826 -41.5908967585571 -5.83963954862784 365
31 10 80 0.6 1 0.001 0.2 "exc" "md" "z" -23.7152681535925 150.044042335856 -47.723350332802 0.292814025617059 365
31 10 80 0.6 1 0.001 0.2 "exc" "md" "t" -23.7152681535925 150.044042335856 -51.9620814727518 4.53154516556688 365
31 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" -23.7152681535925 111.476166503024 -44.4090136606342 -3.02152264655071 365
31 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" -23.7152681535925 111.476166503024 -48.0625842719033 0.632047964718435 365
31 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" -23.7152681535925 139.684434543274 -46.8797237524173 -0.55081255476756 365
31 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" -23.7152681535925 139.684434543274 -50.9695089569912 3.53897264980628 365
31 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" -23.7152681535925 117.46466302772 -44.9575765476371 -2.47295975954784 365
31 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" -23.7152681535925 117.46466302772 -48.7079983181951 1.27746201101022 365
12 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" -18.8095128256522 65.3713776559452 -34.6563249756513 -2.96270067565317 365
12 10 80 0.6 1 0.001 0.2 "ind" "md" "z" -18.8095128256522 172.817304048249 -44.5751984754603 6.95617282415581 365
12 10 80 0.6 1 0.001 0.2 "ind" "md" "t" -18.8095128256522 172.817304048249 -49.1242421387886 11.5052164874842 365
12 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" -18.8095128256522 102.740748895071 -38.6759255891003 1.05689993779584 365
12 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" -18.8095128256522 102.740748895071 -42.1834270126187 4.56440136131422 365
12 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" -18.8095128256522 149.118026356132 -42.7433958718748 5.12437022057036 365
12 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" -18.8095128256522 149.118026356132 -46.9690268327599 9.35000118145541 365
12 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" -18.8095128256522 89.3166840228029 -37.3326433298231 -0.28638232148133 365
12 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" -18.8095128256522 89.3166840228029 -40.6029824385994 2.98395678729494 365
12 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" -17.6643677623051 71.2360623487801 -34.2067496966348 -1.12198582797541 365
12 10 80 0.6 1 0.001 0.2 "exc" "md" "z" -17.6643677623051 154.429173588883 -42.0207490833372 6.69201355872692 365
12 10 80 0.6 1 0.001 0.2 "exc" "md" "t" -17.6643677623051 154.429173588883 -46.3209739489182 10.992238424308 365
